\id MRK
\c 15
\level phrase
0.0	1.33	s1
1.33	1.95	1a
1.95	3.92	1b
3.803	4.25	1c
4.25	5.57	1d
5.57	7.1	1e
7.1	8.08	1f
8.08	9.55	1g
9.55	11.18	1h
11.18	12.13	1i
12.13	13.8	1j
13.8	14.53	2a
14.53	15.87	2b
15.62	18.6	2c
18.356	19.81	2d
19.81	20.17	2e
20.17	21.42	3a
21.42	23.04	3b
23.04	25.29	4a
25.044	27.35	4b
27.35	29.69	4c
29.69	30.26	5a
30.26	31.67	5b
31.67	33.12	5c
33.12	33.91	s2
33.91	35.68	6a
35.68	37.82	6b
37.82	40.53	6c
40.53	41.49	7a
41.49	42.72	7b
42.72	43.88	7c
43.88	45.06	7d
45.06	45.48	7e
45.48	46.71	7f
46.71	47.59	8a
47.59	49.67	8b
49.67	52.41	8c
52.41	54.05	8d
54.05	55.32	9a
55.32	56.29	9b
56.29	59.22	9c
59.22	60.62	10a
60.62	63.28	10b
63.28	64.21	10c
64.21	66.74	10d
66.74	68.91	11a
68.91	70.76	11b
70.76	72.98	11c
72.98	73.69	12a
73.69	74.78	12b
74.78	75.27	12c
75.27	78.14	12d
78.14	79.54	12e
79.54	81.26	13a
81.26	84.22	13b
84.22	86.0	14a
86.0	87.25	14b
87.25	88.58	14c
88.58	90.16	14d
90.16	93.18	14e
93.18	95.34	14f
95.34	97.28	15a
97.28	99.58	15b
99.58	101.6	15c
101.6	103.95	15d
103.95	107.44	15e
107.44	109.81	s3
109.81	111.49	16a
111.247	112.89	16b
112.89	114.86	16c
114.86	148.77	16d
148.77	150.44	17a
150.44	151.55	17b
151.55	179.97	17c
179.97	181.07	17d
181.07	182.44	18a
182.44	185.51	18b
185.51	189.32	19a
189.32	191.86	19b
191.86	193.2	19c
192.952	194.3	19d
194.3	196.4	20a
196.151	198.09	20b
198.09	200.36	20c
200.36	204.15	20d
204.15	207.21	s4
207.21	210.04	21a
210.04	212.1	21b
212.1	213.25	21c
213.25	214.5	21d
214.5	214.87	21e
214.87	216.33	21f
216.33	217.49	21g
217.49	218.22	21h
218.22	220.23	21i
220.23	221.08	22a
221.08	223.14	22b
223.14	224.24	22c
224.24	225.12	22d
225.12	226.39	22e
226.14	228.29	23a
228.29	229.94	23b
229.94	230.6	23c
230.6	234.02	24a
234.02	235.18	24b
235.18	237.49	24c
237.49	238.84	24d
238.84	240.23	24e
240.23	242.11	25a
242.11	243.98	25b
243.98	244.35	26a
244.35	245.05	26b
245.05	247.7	26c
247.7	250.05	26d
250.05	251.07	26e
251.07	252.24	26f
252.24	254.45	27a
254.45	257.39	27b
257.39	260.89	27c
260.89	264.45	28a
264.45	267.7	28b
267.7	268.09	29a
267.843	271.42	29b
271.173	271.91	29c
271.91	273.38	29d
273.38	275.13	29e
275.13	276.03	30a
276.03	279.53	30b
279.53	279.79	31a
279.79	283.57	31b
283.57	285.04	31c
285.04	286.94	31d
286.94	288.33	31e
288.33	289.33	31f
289.33	293.41	31g
293.41	294.63	32a
294.63	296.69	32b
296.69	298.07	32c
298.07	300.53	32d
300.53	302.61	32e
302.61	303.82	32f
303.82	305.55	32g
305.55	309.01	s5
309.01	315.03	33a
315.03	320.14	33b
319.892	322.71	34a
322.71	324.03	34b
324.03	325.27	34c
325.27	326.38	34d
326.38	328.73	34e
328.73	329.63	34f
329.63	330.95	34g
330.95	331.57	34h
331.322	335.01	34i
334.762	337.07	35a
336.823	337.39	35b
337.39	338.07	35c
338.07	338.68	35d
338.68	340.65	35e
340.65	342.17	36a
342.17	346.12	36b
346.12	347.79	36c
347.79	349.6	36d
349.6	350.36	36e
350.36	351.88	36f
351.88	353.52	36g
353.52	355.13	36h
355.13	356.05	36i
356.05	356.86	37a
356.86	359.01	37b
359.01	360.23	37c
360.23	362.94	38a
362.94	365.37	38b
365.37	367.36	38c
367.111	369.59	39a
369.59	372.22	39b
372.22	374.43	39c
374.43	375.28	39d
375.28	378.68	39e
378.68	384.32	40a
384.32	386.46	40b
386.46	388.21	40c
388.21	389.19	40d
389.19	389.53	40e
389.281	390.05	40f
390.05	391.83	40g
391.632	392.4	41a
392.4	394.49	41b
394.49	398.31	41c
398.31	399.85	41d
399.85	401.9	41e
401.9	404.0	41f
404.0	407.82	s6
407.612	408.89	42-43a
408.692	409.17	42-43b
408.94	410.24	42-43c
410.24	411.85	42-43d
411.85	412.9	42-43e
412.9	415.81	42-43f
415.585	417.84	42-43g
417.638	420.3	42-43h
420.3	420.92	42-43i
420.92	423.17	42-43j
423.17	424.59	42-43k
424.59	425.58	44a
425.58	428.07	44b
428.07	429.53	44c
429.53	431.43	44d
431.43	432.39	44e
432.39	434.75	44f
434.75	438.42	44g
438.42	440.95	45a
440.95	442.1	45b
442.075	443.07	45c
442.849	445.88	45d
445.88	446.8	46a
446.8	449.66	46b
449.66	453.26	46c
453.015	454.33	46d
454.33	456.78	46e
456.78	458.11	46f
458.11	459.27	46g
459.048	461.17	46h
461.17	462.31	47a
462.067	464.03	47b
464.03	464.86	47c
464.86	466.68	47d
466.68	468.51	47e
468.273	470.95	47f
