\id TIT
\c 2
\level phrase
0.0	4.52	s1
4.52	5.31	1a
5.066	5.72	1b
5.72	7.13	1c
7.021	9.99	1d
9.755	11.36	2a
11.263	12.67	2b
12.55	13.15	2c
13.15	16.27	2d
16.204	17.25	2e
17.25	18.18	2f
18.18	18.94	2g
18.94	20.77	2h
20.647	21.2	3a
21.2	22.91	3b
22.793	24.19	3c
24.085	26.33	3d
26.111	27.68	3e
27.558	29.06	3f
28.937	32.94	4a
32.94	36.32	4b
36.073	37.63	5a
37.63	39.38	5b
39.38	42.57	5c
42.447	44.3	5d
44.3	46.28	5e
46.161	48.92	5f
48.92	49.47	5g
49.356	52.7	5h
52.602	54.58	5i
54.452	57.18	6a
57.064	58.72	6b
58.72	61.23	s2
60.981	63.42	7a
63.285	64.85	7b
64.85	66.2	7c
65.965	67.89	7d
67.89	68.97	7e
68.817	71.14	7f
71.14	74.28	8a
74.28	76.83	8b
76.83	77.25	8c
77.127	78.87	8d
78.87	80.37	8e
80.37	81.99	8f
81.857	83.58	s3
83.58	88.24	9a
88.099	89.29	9b
89.131	91.31	9c
91.073	92.89	9d
92.89	95.49	10a
95.334	97.0	10b
97.0	100.12	10c
99.972	102.18	10d
102.035	104.73	10e
104.73	105.24	10f
105.105	107.14	10g
106.89	109.63	s4
109.398	111.01	11a
111.01	112.21	11b
112.014	113.08	11c
113.08	113.47	11d
113.47	114.52	11e
114.52	115.65	11f
115.497	117.14	12a
117.009	118.71	12b
118.467	120.9	12c
120.716	124.04	12d
123.797	126.36	12e
126.233	128.78	12f
128.573	130.27	12g
130.27	131.38	12h
131.38	133.4	12i
133.23	141.39	13a
141.252	143.05	13b
143.05	146.22	13c
146.066	149.46	13d
149.319	153.76	13e
153.514	156.16	13f
155.91	163.44	13g
163.44	167.53	14a
167.303	170.0	14b
169.767	174.82	14c
174.577	179.29	14d
179.126	182.45	14e
182.45	185.65	14f
185.65	190.18	15a
189.965	193.07	15b
192.874	195.89	15c
195.89	197.21	15d
196.961	202.18	15e
202.18	202.67	15f
202.67	205.67	15g
