\id MATT
\c 23
\level phrase
0.0	1.52	s1
1.405	2.3	1a
2.173	4.28	1b
4.174	7.23	2a
7.104	8.85	2b
8.752	10.29	2c
10.048	13.71	2d
13.71	16.8	3a
16.64	18.02	3b
18.02	20.3	3c
20.3	22.69	3d
22.444	24.55	3e
24.302	29.0	3f
29.0	29.9	3g
29.9	32.87	3h
32.637	38.11	3i
38.11	39.72	4a
39.482	43.91	4b
43.91	49.08	4c
49.08	50.65	4d
50.65	51.66	4e
51.66	54.18	4f
53.941	55.82	4g
55.82	58.59	4h
58.59	60.11	5a
59.864	63.73	5b
63.73	69.29	5c
69.041	71.39	5d
71.141	75.02	5e
74.772	78.12	6a
78.12	79.63	6b
79.63	81.91	6c
81.91	85.19	6d
85.19	86.95	7a
86.95	91.7	7b
91.537	92.92	7c
92.92	96.3	7d
96.158	97.65	7e
97.511	99.34	8a
99.216	101.07	8b
100.915	104.05	8c
103.93	107.15	8d
107.017	110.2	8e
110.061	113.6	8f
113.464	114.67	9a
114.526	116.82	9b
116.698	118.16	9c
118.014	119.96	9d
119.828	121.84	9e
121.732	124.3	10a
124.144	125.99	10b
125.888	127.67	10c
127.512	130.09	10d
129.961	133.56	10e
133.43	136.11	11a
135.982	138.09	11b
137.967	140.36	12a
140.229	140.86	12b
140.86	144.22	12c
144.095	145.77	12d
145.625	147.43	12e
147.294	149.68	12f
149.54	151.39	12g
151.259	153.07	13a
152.904	154.46	13b
154.308	156.47	13c
156.352	158.32	13d
158.188	159.9	13e
159.662	161.59	13f
161.452	162.92	13g
162.784	163.75	13h
163.75	165.0	13i
164.865	168.18	13j
168.041	171.42	15a
171.188	172.48	15b
172.358	174.51	15c
174.51	178.98	15d
178.98	181.09	15e
181.09	185.19	15f
184.972	188.63	15g
188.42	191.13	15h
190.976	197.54	15i
197.298	199.63	16a
199.39	202.07	16b
202.07	203.67	16c
203.544	206.12	16d
206.12	207.7	16e
207.7	208.85	16f
208.85	210.1	16g
209.859	212.89	16h
212.645	217.53	16i
217.358	217.96	17a
217.96	219.16	17b
219.01	221.34	17c
221.176	223.24	17d
223.24	224.67	17e
224.67	228.32	17f
228.32	231.08	18a
230.841	233.57	18b
233.405	235.08	18c
234.915	236.51	18d
236.28	237.7	18e
237.601	240.13	18f
240.13	242.85	18g
242.712	248.14	18h
248.14	249.37	19a
249.37	251.15	19b
250.971	253.44	19c
253.31	257.76	19d
257.576	259.74	19e
259.572	267.82	19f
267.598	268.66	20a
268.66	270.7	20b
270.555	272.99	20c
272.99	274.47	20d
274.235	281.93	20e
281.93	287.32	21a
287.32	295.53	21b
295.53	298.56	21c
298.56	300.34	22a
300.34	306.1	22b
306.1	307.67	22c
307.423	312.6	22d
312.6	315.63	22e
315.63	321.07	22f
321.07	324.7	23a
324.7	326.73	23b
326.562	329.8	23c
329.8	333.15	23d
332.978	335.13	23e
335.13	341.65	23f
341.492	342.84	23g
342.84	346.4	23h
346.332	349.2	23i
348.977	350.86	23j
350.65	354.09	23k
353.888	356.13	23l
356.023	356.92	23m
356.92	360.34	23n
360.178	362.5	23o
362.343	368.23	23p
367.984	370.85	23q
370.649	373.6	23r
373.6	376.23	24a
376.23	382.75	24b
382.509	383.88	24c
383.63	389.23	24d
389.07	392.62	25a
392.62	393.67	25b
393.67	395.46	25c
395.46	398.13	25d
398.13	404.23	25e
403.983	405.76	25f
405.76	406.95	25g
406.7	412.27	25h
412.27	413.29	26a
413.069	414.49	26b
414.295	418.52	26c
418.52	422.12	26d
422.12	424.14	27a
424.14	424.95	27b
424.95	426.8	27c
426.8	429.85	27d
429.85	433.2	27e
433.2	435.83	27f
435.83	436.78	27g
436.78	440.16	27h
440.16	442.51	27i
442.51	446.57	28a
446.321	448.77	28b
448.52	449.3	28c
449.3	453.09	28d
452.841	455.9	29a
455.692	456.96	29b
456.824	458.19	29c
458.19	462.63	29d
462.63	465.65	29e
465.65	468.48	29f
468.48	471.53	29g
471.297	472.64	30a
472.64	476.26	30b
476.012	484.13	30c
483.91	486.56	31a
486.56	488.97	31b
488.97	489.46	31c
489.21	495.69	31d
495.451	500.74	32a
500.74	502.76	32b
502.512	506.27	33a
506.27	508.2	33b
507.951	511.52	33c
511.52	513.35	34a
513.35	515.66	34b
515.41	520.34	34c
520.34	525.89	34d
525.89	527.16	34e
527.16	530.51	34f
530.51	534.99	34g
534.752	536.7	34h
536.7	539.24	34i
539.24	544.37	34j
544.37	546.39	35a
546.39	546.94	35b
546.94	551.36	35c
551.11	553.38	35d
553.154	554.73	35e
554.48	556.78	35f
556.78	558.98	35g
558.98	560.07	35h
559.82	564.16	35i
564.16	565.68	35j
565.68	568.81	36a
568.81	575.02	36b
575.02	578.74	37a
578.74	580.25	37b
580.25	581.56	37c
581.341	585.77	37d
585.521	589.31	37e
589.06	594.4	37f
594.4	596.34	37g
596.097	602.34	37h
602.34	603.91	37i
603.91	606.08	37j
606.08	607.57	38a
607.57	610.76	38b
610.76	614.18	39a
613.935	615.83	39b
615.83	618.67	39c
618.67	620.26	39d
620.26	621.69	39e
621.69	626.82	39f
