\id LUK
\c 23
\level phrase
0.0	3.59	s1
3.526	6.6	1a
6.511	7.33	1b
7.215	9.84	1c
9.84	12.66	2a
12.555	13.81	2b
13.788	15.61	2c
15.61	15.96	2d
15.795	19.15	2e
19.032	19.54	2f
19.54	23.61	2g
23.494	24.57	3a
24.57	25.69	3b
25.69	26.8	3c
26.8	29.81	3d
29.561	31.25	3e
31.128	33.07	3f
32.977	34.27	4a
34.158	35.92	4b
35.733	42.62	4c
42.492	43.59	5a
43.457	45.54	5b
45.435	46.67	5c
46.67	47.38	5d
47.247	49.66	5e
49.66	50.38	5f
50.244	52.66	5g
52.66	54.06	5h
54.06	56.29	5i
56.17	58.74	s2
58.74	59.33	6a
59.33	62.07	6b
61.951	63.38	6c
63.38	65.27	6d
65.27	66.82	7a
66.638	71.18	7b
71.18	71.87	7c
71.87	73.07	7d
72.833	73.89	7e
73.89	74.88	7f
74.632	77.27	7g
77.031	80.41	8a
80.41	82.0	8b
82.0	83.62	8c
83.62	86.12	8d
86.12	87.41	8e
87.185	89.29	8f
89.109	90.42	8g
90.192	94.23	8h
94.097	97.51	9a
97.51	100.33	9b
100.33	102.73	10a
102.73	104.4	10b
104.154	106.56	10c
106.328	110.02	10d
110.02	112.19	11a
112.19	113.96	11b
113.96	115.51	11c
115.342	117.31	11d
117.31	118.15	11e
118.15	120.27	11f
120.27	121.46	12a
121.46	122.61	12b
122.61	124.01	12c
124.01	125.41	12d
125.16	127.26	12e
127.26	128.77	12f
128.611	132.26	s3
132.122	132.99	13a
132.827	134.52	13b
134.366	135.88	13c
135.722	137.43	14a
137.29	139.52	14b
139.31	142.76	14c
142.515	144.22	14d
144.22	145.95	14e
145.95	148.0	14f
148.0	149.15	14g
149.15	150.21	14h
150.057	151.1	14i
151.1	152.18	15a
152.18	153.49	15b
153.338	155.62	15c
155.517	157.54	15d
157.297	160.7	15e
160.531	161.88	16a
161.671	164.57	16b
164.395	166.51	16c
166.262	168.24	17a
168.24	170.01	17b
170.01	170.83	17c
170.83	174.89	17d
174.641	176.09	18a
176.09	177.68	18b
177.453	180.08	18c
180.08	251.5	18d
251.253	256.25	19a
256.25	262.02	19b
262.02	263.34	19c
263.095	264.79	19d
264.672	265.2	20a
265.016	266.48	20b
266.48	269.59	20c
269.425	270.6	20d
270.6	270.94	21a
270.784	271.45	21b
271.45	272.8	21c
272.572	274.04	21d
273.82	275.78	21e
275.555	276.93	22a
276.755	278.88	22b
278.853	280.19	22c
279.96	281.78	22d
281.78	283.33	22e
283.33	287.36	22f
287.158	288.03	23a
287.848	290.19	23b
289.987	292.17	23c
291.921	293.02	23d
293.02	296.36	23e
296.36	298.76	23f
298.518	300.37	23g
300.37	301.99	24a
301.781	304.35	24b
304.135	304.86	24c
304.86	305.41	25a
305.41	307.48	25b
307.256	308.69	25c
308.69	310.91	25d
310.91	314.01	25e
313.789	315.7	25f
315.7	318.88	s4
318.88	320.9	26a
320.9	323.29	26b
323.29	324.2	26c
324.2	325.74	26d
325.74	328.03	26e
327.781	328.92	26f
328.92	330.96	26g
330.773	332.22	26h
331.972	334.46	26i
334.298	337.15	27a
336.905	339.11	27b
338.95	340.9	27c
340.9	343.17	28a
343.17	345.46	28b
345.265	347.07	28c
347.07	350.2	28d
350.2	351.05	29a
351.05	353.4	29b
353.4	354.52	29c
354.52	359.85	29d
359.601	362.07	30a
362.07	366.07	30b
365.835	374.35	30c
374.35	378.68	31a
378.68	381.69	31b
381.618	383.66	31c
383.66	385.84	31d
385.84	387.75	31e
387.75	390.72	32a
390.72	394.75	32b
394.521	398.64	33a
398.64	402.87	33b
402.87	406.88	33c
406.662	408.45	33d
408.45	408.81	33e
408.81	411.13	33f
410.923	411.79	34a
411.79	412.96	34b
412.714	415.2	34c
415.2	416.82	34d
416.82	419.43	34e
419.43	420.94	34f
420.94	421.94	34g
421.79	423.59	34h
423.59	424.84	34i
424.634	426.45	34j
426.264	428.52	35a
428.52	429.58	35b
429.403	431.18	35c
430.932	432.54	35d
432.54	437.35	35e
437.35	439.89	35f
439.673	441.54	36a
441.54	442.78	36b
442.53	443.84	36c
443.84	446.03	36d
446.03	448.87	37a
448.62	453.53	37b
453.53	457.94	37c
457.897	458.26	38a
458.057	460.29	38b
460.105	464.7	38c
464.452	467.24	38d
467.24	468.62	38e
468.62	470.56	38f
470.484	472.46	39a
472.439	474.62	39b
474.402	478.01	39c
477.767	480.9	39d
480.851	482.73	40a
482.653	484.96	40b
484.727	486.27	40c
486.063	487.8	40d
487.587	491.04	40e
490.793	493.3	41a
493.3	494.68	41b
494.516	497.24	41c
497.015	498.39	41d
498.146	499.15	41e
498.903	500.07	41f
499.823	505.72	41g
505.72	509.64	42a
509.64	511.13	42b
510.882	517.33	42c
517.211	520.5	42d
520.268	521.96	43a
521.739	523.49	43b
523.49	526.91	43c
526.91	531.51	s5
531.51	535.73	44a
535.49	539.88	44b
539.638	541.84	45a
541.84	545.09	45b
545.09	547.42	45c
547.172	549.61	46a
549.368	550.51	46b
550.51	551.58	46c
551.58	555.0	46d
555.0	556.38	47a
556.38	560.81	47b
560.57	561.75	47c
561.75	563.83	47d
563.603	565.73	47e
565.537	567.01	47f
567.01	568.43	48a
568.22	570.22	48b
570.22	572.14	48c
572.14	574.48	48d
574.48	576.96	48e
576.96	577.83	49a
577.83	579.47	49b
579.47	580.62	49c
580.379	582.66	49d
582.432	583.5	49e
583.5	585.26	s6
585.26	585.84	50-51a
585.604	587.6	50-51b
587.6	588.98	50-51c
588.98	590.94	50-51d
590.94	592.37	50-51e
592.138	594.39	50-51f
594.146	597.35	50-51g
597.35	599.94	50-51h
599.94	602.62	50-51i
602.62	604.62	50-51j
604.62	606.67	50-51k
606.67	607.7	52a
607.7	609.85	52b
609.85	611.8	52c
611.8	615.53	53a
615.53	618.08	53b
618.08	621.48	53c
621.48	625.23	53d
625.23	627.1	53e
627.1	627.8	54a
627.8	629.74	54b
629.74	631.41	54c
631.41	634.01	55a
634.01	635.79	55b
635.79	637.13	55c
637.13	638.77	55d
638.77	640.8	55e
640.8	641.87	56a
641.87	643.58	56b
643.58	644.75	56c
644.75	647.26	56d
647.26	648.12	56e
648.12	649.78	56f
649.78	651.07	56g
651.07	653.78	56h
