\id JHN
\c 19
\level phrase
0.0	2.04	s1
1.915	2.58	1a
2.58	4.68	1b
4.553	5.41	1c
5.289	6.65	2a
6.527	7.66	2b
7.415	9.19	2c
9.19	10.81	3a
10.687	12.13	3b
12.058	14.32	3c
14.192	15.74	3d
15.74	16.12	4a
15.986	18.13	4b
17.881	22.3	4c
22.058	26.92	4d
26.92	31.98	4e
31.98	34.21	5a
34.056	37.25	5b
37.25	39.06	5c
38.843	42.89	5d
42.89	45.54	5e
45.302	49.47	6a
49.222	51.82	6b
51.698	53.65	6c
53.65	56.77	6d
56.532	58.16	6e
58.02	62.24	6f
62.24	64.2	6g
64.2	75.28	6h
75.041	87.43	7a
87.43	89.56	7b
89.56	92.16	7c
92.16	94.4	7d
94.4	96.6	7e
96.35	102.23	7f
101.983	103.29	8a
103.29	107.42	8b
107.193	110.09	9a
110.09	111.24	9b
111.24	113.38	9c
113.38	115.31	9d
115.31	115.56	10a
115.311	117.25	10b
117.25	119.72	10c
119.47	121.49	10d
121.3	124.58	10e
124.58	126.04	10f
126.04	127.6	11a
127.6	129.02	11b
129.02	130.59	11c
130.344	133.1	11d
133.1	134.37	11e
134.37	136.81	11f
136.81	139.15	11g
139.15	140.33	12a
140.33	142.91	12b
142.91	148.16	12c
148.16	150.53	12d
150.53	151.98	12e
151.98	158.22	12f
157.97	163.55	12g
163.55	165.69	12h
165.69	167.56	12i
167.353	168.07	13a
168.07	169.33	13b
169.171	171.45	13c
171.311	175.23	13d
175.23	180.03	13e
180.03	183.3	13f
183.3	185.63	13g
185.63	186.9	13h
186.9	188.57	13i
188.57	189.4	14a
189.4	193.66	14b
193.66	195.57	14c
195.57	199.39	14d
199.39	200.32	14e
200.32	202.26	14f
202.26	203.16	14g
203.16	204.69	14h
204.69	207.93	14i
207.93	210.29	15a
210.29	211.48	15b
211.48	212.81	15c
212.81	215.99	15d
215.99	217.8	15e
217.8	219.65	15f
219.65	223.49	15g
223.49	224.01	15h
224.01	227.05	15i
227.05	230.27	15j
230.27	231.09	16a
231.09	238.65	16b
238.65	242.65	16c
242.65	244.41	16d
244.41	247.39	s2
247.39	249.74	17a
249.74	252.53	17b
252.53	254.73	17c
254.73	256.28	17d
256.28	257.96	18a
257.96	260.4	18b
260.4	262.23	18c
262.23	263.99	18d
263.99	264.71	18e
264.71	267.48	18f
267.48	268.86	19a
268.86	269.91	19b
269.91	271.22	19c
270.975	273.61	19d
273.61	275.82	19e
275.82	278.1	19f
278.1	281.17	19g
281.17	284.42	20a
284.42	287.37	20b
287.37	290.12	20c
290.12	293.18	20d
293.18	294.39	20e
294.39	295.28	20f
295.28	296.63	20g
296.63	298.82	20h
298.82	299.57	21a
299.57	301.76	21b
301.76	303.28	21c
303.28	305.46	21d
305.46	307.21	21e
307.21	313.24	21f
313.24	314.36	22a
314.36	316.71	22b
316.71	318.83	22c
318.83	320.9	23a
320.9	323.85	23b
323.85	325.55	23c
325.55	327.78	23d
327.78	330.41	23e
330.41	332.67	23f
332.67	335.23	23g
335.23	338.51	23h
338.51	341.16	23i
341.16	342.77	23j
342.77	344.49	24a
344.49	346.51	24b
346.51	349.73	24c
349.73	351.24	24d
351.24	353.57	24e
353.32	356.34	24f
356.34	359.5	24g
359.5	361.21	24h
361.21	362.47	24i
362.47	364.54	24j
364.54	366.97	24k
366.97	369.58	24l
369.58	374.13	24m
374.13	377.33	25a
377.33	378.09	25b
378.09	380.47	25c
380.47	384.15	25d
384.15	386.03	25e
386.03	389.56	25f
389.56	390.14	26a
390.14	418.43	26b
418.43	418.99	26c
418.99	419.35	26d
419.35	421.84	26e
421.84	424.16	27a
424.16	424.85	27b
424.603	425.85	27c
425.85	428.05	27d
428.05	430.35	27e
430.35	432.67	27f
432.67	438.55	s3
438.55	439.28	28a
439.28	445.17	28b
445.17	448.74	28c
448.74	451.48	28d
451.245	452.24	29a
452.092	455.12	29b
455.12	457.83	29c
457.59	458.99	29d
458.754	460.47	29e
460.47	462.72	30a
462.72	465.08	30b
465.08	466.15	30c
466.15	469.43	30d
469.43	470.22	31a
470.22	475.46	31b
475.46	476.01	31c
476.01	478.71	31d
478.71	481.12	31e
481.12	486.5	31f
486.5	488.78	31g
488.78	490.97	31h
490.97	494.29	31i
494.29	496.68	31j
496.68	499.38	31k
499.38	502.14	32a
502.14	505.23	32b
505.23	508.05	32c
508.05	511.04	33a
511.04	513.35	33b
513.35	515.55	33c
515.55	517.03	34a
517.03	518.17	34b
518.17	521.68	34c
521.68	524.58	34d
524.58	529.89	35a
529.89	532.45	35b
532.45	533.95	35c
533.95	535.84	35d
535.84	539.93	35e
539.93	541.73	36a
541.73	543.15	36b
543.15	546.26	36c
546.26	553.79	36d
553.79	557.91	37a
557.91	561.84	37b
561.84	565.46	37c
565.46	566.47	38a
566.47	569.65	38b
569.65	570.5	38c
570.5	572.24	38d
572.24	573.95	38e
573.95	574.81	38f
574.81	575.99	38g
575.741	576.43	38h
576.181	577.08	38i
577.08	580.88	38j
580.88	586.0	38k
586.0	586.65	38l
586.65	590.14	38m
589.89	592.43	39a
592.43	594.68	39b
594.68	596.51	39c
596.51	599.41	39d
599.41	606.78	39e
606.78	607.42	40a
607.42	609.7	40b
609.7	612.92	40c
612.92	614.41	40d
614.41	616.86	40e
616.86	621.74	41a
621.74	623.23	41b
623.23	625.4	41c
625.156	626.75	41d
626.75	628.86	41e
628.86	631.99	41f
631.99	633.23	42a
633.23	638.07	42b
638.07	642.37	42c
642.37	643.07	42d
643.07	645.28	42e
645.03	646.26	42f
646.035	649.1	42g
